Document ID,Topic,Sub-topic,Text Content,Source
1,Introduction to Biology,Understanding biological Diversity,"At present our planet is rich in diversity. Life on earth formed around 3.5 billion years ago. The first formed organisms are believed to be heterotrophic, anaerobic prokaryotes. Since then the evolutionary process resulted in the extensive biodiversity which exists in the biosphere now.Scientists assume, based on their studies that there are about 10 million to over 100 million species in the world. There is a dynamic relationship between living world and the inanimate world and each and every organism has a specific role in the environment for existence of the Biosphere.The variety of life on earth, the number of species of plants, animals and microorganisms, the diversity of genes in these species, the different ecosystems on the earth such as deserts, rainforests and coral reefs are all part of a biologically diverse earth.","Biology, Grade 12, Resource Book"
2,Introduction to Biology,Understanding the human Body and its functions.,"When studying biology, especially by studying histology and anatomy of the human body, one can gain the knowledge about the structure of the organs. This results in understanding and appreciation of the organization of the human body and understanding the functions of different organ systems and the relationship between structure and functions.","Biology, Grade 12, Resource Book"
3,Introduction to Biology,Sustainable use and Management of natural resources and Environment,"Natural resources are sources of materials and energy found naturally which are used in everyday life and for economic development.These natural resources are limited on earth. Due to the increase of growth rate of human population, overuse of natural resources is taking place. It causes threat of depletion of natural resources. Due to over exploitation of natural resources, various environmental problems arise such as; Environmental pollution,Loss of Biodiversity, Desertification.Hence to overcome the above problems management of natural resources and environment should be practiced. Knowledge of Biology is useful to bring about remedies for the above problems.","Biology, Grade 12, Resource Book"
4,Introduction to Biology,Sustainable Food production,"Sustainable food production is the production of sufficient amounts of food for the human population using environmentally safe methods. The current human population is about 7 billion and expected to be double in less than 40 years. Therefore, for the survival of human beings sustainable food production is necessary.To maintain sustainable food production following methods can be applied, which are based on knowledge in biology. Production of high yielding varieties of plants and animals,Production of disease resistant varieties of plants and animals, Improve the post harvest technological methods.","Biology, Grade 12, Resource Book"
5,Introduction to Biology,Understanding plant life,"Plants are the primary producers in the world. All the animals depend directly or indirectly on plants. Therefore understanding plant life is important. As time passes,human population increases. Hence, the productivity must be increased. Therefore,understanding plant biology is essential for producing high yielding plants, disease resistant plants, etc.","Biology, Grade 12, Resource Book"
6,Introduction to Biology,Understanding diseases and causes ,"To maintain healthy human body one should have the knowledge of causes of the diseases and their effects. Some dangerous diseases which exist in current world are non communicable diseases such as cancers, heart diseases, diabetes, chronic renal diseases and communicable diseases such as dengue, AIDS, etc. Cancers- causes for this is not fully understood yet. Cancers are one of the leading causes of death .AIDS- is a viral disease which is a serious and growing health problem worldwide,Heart diseases- This is also a serious and growing health problem worldwide. Causes are not fully understood yet,Chronic renal diseases- In Sri Lanka, recently CKDu has become a serious health problem.Currently scientists are working on prevention, remedial measures and cures for such diseases.","Biology, Grade 12, Resource Book"
7,Introduction to Biology,Solving some legal and ethical issues ,"Knowledge and application of biological concepts is important in solving some legal issues, such as parentage testing, in criminal investigations and to solve immigration disputes.DNA fingerprinting is used in above circumstances.","Biology, Grade 12, Resource Book"
8,Introduction to Biology,The nature and the organizational patterns of the living world,"In accordance with different criteria we can see a diversity among living organisms. Organisms are diverse based on size, shape, form and habitats.
•	Living organisms show a wide range of variation in size, shape, form and habitat.
•	Size —Bacteria—1um—5 um to Giant Sequoia (Giant Red Wood)— 100m
•	Shape —Organisms are diverse in shape, e.g: Cylindrical (earth worm), streamline
shape (birds, fish)
•	Form —Unicellular (Amoeba), multicellular (any plant or animal)
•	Habitat — Terrestrial (Rat), aquatic (Fish), arboreal (Loris), aerial (Birds)
Characteristics of organisms

In order to survive, each organism whether simple or complex must be able to perform certain functions. Following features are the characteristics of organisms.
(i) Order and organization
From molecular level to biosphere there is an order and organization in organisms to perform their biological activities efficiently. Lower-level components are organized in a methodical pattern in upper level to make it most efficient: plant leaf and human eyes.
(ii) Metabolism
The sum of all chemical activities taking place in an organism is its metabolism. It includes catabolic reactions and anabolic reactions.
(iii) Growth and development
All organisms begin their life as a single cell. During growth an irreversible increase in dry mass occurs, which is characterized only by the living. Irreversible changes that occur during the life span of an organism is development. Growth and development are two consequent processes that happen in the life span of organisms.
 (iv) Irritability and coordination
Irritability is the ability to respond to stimuli from both internal and external environment. Movement of organisms occurs as a result of irritability and coordination. In animals this happens as a result of coordinated efforts of nervous, hormonal, muscular and skeletal system.
(v) Adaptation
Adaptation is a peculiarity of structure, physiology or behavior that promotes the likelihood of an organism’s survival and reproduction in a particular environment. E.g: Sunken stomata in Xerophytes, Viviparity in some mangroves, Splayed out foot in camels.
(vi) Reproduction
Ability to produce offspring for continuous existence of species
(vii) Heredity & Evolution
Organisms have genes that pass from one generation to the next and control specific physiological, morphological and behavioral characters of organisms. Ability of organisms to change over time as a result of genetic modification is evolution Many non living entities may have one or more of these characteristics but not all of them e.g., crystals grow, waves move but only living organisms display all these characteristics simultaneously or at some point during their life cycle. By considering this it can be said that these are occurring in single celled organisms as well as highly complex organisms such as humans and Anthophytes (flowering plants).","Biology, Grade 12, Resource Book"
9,Introduction to Biology,Hierarchical levels of organization of living things,"The cell is the basic structural and functional unit of life. Some organisms are unicellular while others are multicellular.Cell is composed of several organells which are formed by different organic molecules. Then hierarchieal levels of organization of living things can be constructed by using relevant examples at each level. Molecules,Organells, Cells, Tissues, Organs, Organ systems, Organisms, Populations, Communities, Ecosystems, Biosphere.","Biology, Grade 12, Resource Book"
10,Chemical and cellular basis of life,Physical and chemical properties of water important for life,"Physical and chemical properties of water important for life
Water is a vital inorganic molecule; life could not exist on this planet without water. It is important due to following reasons,
1. Vital chemical constituent of living cell
2. Provides a biological medium for all organisms
Physical and chemical properties of water molecule provide the ability to render the vitality.
Water molecule is small, polar and angular molecule. Polarity is an uneven charge distribution within a molecule. In water molecule. oxygen atom is slightly negative, and hydrogen atom is slightly positive. Weak attractions between the slightly polar hydrogen atom of one water molecule and the slightly polar oxy gen atom of adjacent water molecule are known as hydrogen bonds. These hydrogen bonds play a major role
in maintaining all the properties of water. The properties of water arise due to the hydrogen bonds between different water molecules. When the water is in liquid form its H bonds are very fragile. H bonds form, break and reform with great frequency.
Physical properties of water. Four major properties of water to maintain life on earth
•	Cohesive behavior
•	Ability to moderate temperature
•	Expansion upon freezing
•	Versatility as a solvent
1. Cohesive behavior
Attraction between water molecules due to hydrogen bonding is known as cohesion. Attraction between water molecules and other substances are known as adhesion. Both of the above properties of water allow it to act as a transport medium. Due to cohesion between water molecules, water and dissolved substances such as minerals are transported as a continuous column through xylem against gravity. Adhesion between water molecules and cell walls also helps in conduction of water and dissolved substances. Water has a high surface tension. This ability is given to water molecules, due to cohesion between the water molecules. Therefore, in an aquatic system, upper surface water molecules are attracted by lower surface molecules and it forms a water film. Small insects e.g. water skaters can walk on the surface of a pond.
2. Ability to moderate temperature
Water can absorb or release a relatively high amount of heat energy by a slight change in its own temperature. Due to the high specific heat, water will function as thermal buffer in living system and
aquatic bodies during the temperature fluctuations on earth. Due to the high heat of vaporization, with the minimum loss of water an organism can release much heat energy. This helps the organisms to cool their body surface. e.g. Prevent from overheating. Evaporation of sweat from human skin helps to maintain the body temperature at constant level. Transpiration in plants helps to cool the plant body surface and prevent from becoming too warm in the sunlight.
3. Expansion upon freezing
Generally, in an increase in temperature of any substances, reduces their density and on the other hand, in a decrease in temperature increases their density. When the temperature of water falls below 4 °C, it begins to freeze and forms a crystalline lattice alled ice cubes. Water has the maximum density at 4°C. Hence, ice floats on the surface of water bodies. It is an important property of water in polar regions, where, organisms in aquatic bodies can survive during the winter.
4. Versatility as a solvent
This ability is given to water due to their polarity. Polar molecules (e.g. Glucose), ionic compounds (e.g. NaCl), molecules with both polar and ionic regions (e.g. lysozymes) can dissolve in water. Water molecules surround each of the solute molecules and form hydrogen bonds with them. Therefore, solubility of the solutes depends on polarity and not in their ionic nature.","Biology, Grade 12, Resource Book"
